Invoice Number,Date Sale,Time Sale,Product,Quantity,Unit Price,Total Sale,Payment Method,Seller,Discounts,Taxes,Notes,Remaining Stock,Category_Cigarettes,Category_Drinks,Category_Others,Category_Candies
6497-964,2024-08-25,20:39:04.235685,Chewing gums,7,18.22,127.54,Cash,Seller A,2.67,20.41,Note 3,11,0.0,0.0,0.0,0
3930-318,2024-08-27,20:39:04.235685,Marlboro,19,13.0,247.0,Bank Transfer,Seller B,33.61,46.03,Note 2,14,1.0,0.0,0.0,0
2937-511,2024-07-11,20:39:04.251315,Cigarette Lighter,20,12.0,240.0,Bank Transfer,Seller A,15.15,44.8,Note 3,74,0.0,0.0,1.0,0
1257-910,2024-08-03,20:39:04.251315,Chewing gums,7,7.57,52.99,Bank Transfer,Seller B,2.66,8.48,Note 1,83,0.0,0.0,0.0,0
7596-465,2024-07-16,20:39:04.251315,Lucky Strike,2,11.0,22.0,Credit Card,Seller D,1.37,1.02,Note 2,34,1.0,0.0,0.0,0
2478-455,2024-08-04,20:39:04.251315,Toilet Paper,18,8.41,151.38,Cash,Seller A,36.88,24.22,Note 4,36,0.0,0.0,1.0,0
5962-650,2024-07-29,20:39:04.251315,Cigarette Lighter,18,12.0,216.0,Cash,Seller D,32.95,30.64,Note 3,9,0.0,0.0,1.0,0
9049-856,2024-08-28,20:39:04.251315,Toilet Paper,8,4.38,35.04,PayPal,Seller B,3.67,5.61,Note 1,98,0.0,0.0,1.0,0
9031-591,2024-08-01,20:39:04.251315,Magazine,14,15.48,216.72,Bank Transfer,Seller D,52.24,34.68,Note 4,70,0.0,0.0,1.0,0
2240-247,2024-08-21,20:39:04.251315,Marlboro,5,13.0,65.0,Bank Transfer,Seller C,8.98,9.79,Note 1,8,1.0,0.0,0.0,0
8111-474,2024-07-13,20:39:04.251315,Lucky Strike,17,11.0,187.0,PayPal,Seller C,6.78,4.95,Note 4,56,1.0,0.0,0.0,0
2083-332,2024-07-16,20:39:04.266943,Chocolate,6,7.27,43.62,PayPal,Seller C,12.63,6.98,Note 1,20,0.0,0.0,0.0,0
4762-289,2024-07-28,20:39:04.266943,Candies,12,7.31,87.72,Bank Transfer,Seller B,8.05,14.04,Note 4,29,0.0,0.0,0.0,0
8625-911,2024-08-18,20:39:04.266943,Chocolate,2,2.77,5.54,Credit Card,Seller B,1.56,0.89,Note 2,100,0.0,0.0,0.0,0
6069-657,2024-07-08,20:39:04.266943,Magazine,14,19.69,275.66,Credit Card,Seller D,38.48,44.11,Note 2,83,0.0,0.0,1.0,0
3814-755,2024-07-27,20:39:04.266943,Magazine,12,19.28,231.36,Bank Transfer,Seller D,63.27,37.02,Note 4,44,0.0,0.0,1.0,0
4835-543,2024-08-02,20:39:04.266943,Water,20,15.32,306.4,Cash,Seller C,86.26,49.02,Note 1,82,0.0,1.0,0.0,0
8831-190,2024-08-07,20:39:04.266943,Soda,5,1.39,6.95,Bank Transfer,Seller B,0.74,1.11,Note 1,21,0.0,1.0,0.0,0
9570-486,2024-07-30,20:39:04.266943,Magazine,20,14.29,285.8,Credit Card,Seller D,67.92,45.73,Note 1,23,0.0,0.0,1.0,0
9873-642,2024-07-02,20:39:04.266943,Water,8,1.33,10.64,Cash,Seller B,2.79,1.7,Note 4,40,0.0,1.0,0.0,0
3052-379,2024-07-23,20:39:04.282568,Magazine,3,17.21,51.63,PayPal,Seller A,5.75,8.26,Note 3,79,0.0,0.0,1.0,0
9166-651,2024-08-07,20:39:04.282568,Cigarette Lighter,15,12.0,180.0,Credit Card,Seller C,48.46,37.01,Note 3,0,0.0,0.0,1.0,0
7490-166,2024-07-09,20:39:04.282568,Lucky Strike,19,11.0,209.0,Cash,Seller B,96.87,54.2,Note 1,35,1.0,0.0,0.0,0
5258-121,2024-08-12,20:39:04.282568,Candies,12,1.07,12.84,Bank Transfer,Seller B,3.16,2.05,Note 2,39,0.0,0.0,0.0,0
3809-132,2024-08-02,20:39:04.282568,Soda,15,13.38,200.7,Bank Transfer,Seller A,53.75,32.11,Note 2,36,0.0,1.0,0.0,0
4444-246,2024-07-18,20:39:04.282568,Lucky Strike,18,11.0,198.0,Cash,Seller D,18.27,51.35,Note 4,1,1.0,0.0,0.0,0
8928-783,2024-07-01,20:39:04.282568,Juice,9,1.05,9.45,Bank Transfer,Seller D,1.02,1.51,Note 2,23,0.0,1.0,0.0,0
9693-125,2024-07-09,20:39:04.282568,Cigarette Lighter,14,12.0,168.0,PayPal,Seller C,4.09,11.16,Note 4,76,0.0,0.0,1.0,0
4197-719,2024-07-08,20:39:04.282568,Candies,19,16.59,315.21,Cash,Seller C,40.02,50.43,Note 2,41,0.0,0.0,0.0,0
5115-979,2024-07-06,20:39:04.298180,Chocolate,17,12.93,219.81,Cash,Seller D,41.42,35.17,Note 2,88,0.0,0.0,0.0,0
7001-162,2024-08-11,20:39:04.298180,Cigarette Lighter,10,12.0,120.0,Bank Transfer,Seller A,24.19,19.87,Note 1,37,0.0,0.0,1.0,0
9105-546,2024-07-21,20:39:04.298180,Toilet Paper,13,6.86,89.18,Cash,Seller A,9.37,14.27,Note 2,19,0.0,0.0,1.0,0
6373-453,2024-08-08,20:39:04.298180,Soda,20,10.83,216.6,Bank Transfer,Seller A,4.13,34.66,Note 1,52,0.0,1.0,0.0,0
7883-963,2024-08-04,20:39:04.298180,Candies,8,15.58,124.64,Cash,Seller B,21.87,19.94,Note 2,96,0.0,0.0,0.0,0
3429-289,2024-07-09,20:39:04.298180,Cookies,12,12.62,151.44,Credit Card,Seller A,22.52,24.23,Note 4,0,0.0,0.0,0.0,0
9838-486,2024-07-31,20:39:04.298180,Toilet Paper,3,16.08,48.24,Bank Transfer,Seller D,13.57,7.72,Note 1,22,0.0,0.0,1.0,0
2193-749,2024-07-17,20:39:04.298180,Cookies,17,3.0,51.0,Credit Card,Seller C,12.92,8.16,Note 2,91,0.0,0.0,0.0,0
8480-100,2024-08-18,20:39:04.298180,Juice,2,1.05,2.1,PayPal,Seller A,0.55,0.34,Note 1,34,0.0,1.0,0.0,0
6751-279,2024-08-14,20:39:04.313815,Soda,14,16.14,225.96,Credit Card,Seller B,15.83,36.15,Note 2,53,0.0,1.0,0.0,0
5793-593,2024-08-18,20:39:04.313815,Cigarette Lighter,15,12.0,180.0,Credit Card,Seller D,61.24,42.43,Note 1,20,0.0,0.0,1.0,0
7328-376,2024-08-10,20:39:04.313815,Chocolate,15,16.79,251.85,Cash,Seller C,67.39,40.3,Note 2,54,0.0,0.0,0.0,0
4087-144,2024-08-17,20:39:04.313815,Candies,6,9.7,58.2,PayPal,Seller A,10.65,9.31,Note 2,64,0.0,0.0,0.0,0
2695-614,2024-08-26,20:39:04.313815,Chocolate,5,9.57,47.85,PayPal,Seller A,12.82,7.66,Note 4,64,0.0,0.0,0.0,0
2698-282,2024-07-02,20:39:04.313815,Beer,5,1.57,7.85,Bank Transfer,Seller B,1.66,1.26,Note 1,80,0.0,1.0,0.0,0
5087-698,2024-07-09,20:39:04.313815,Marlboro,12,13.0,156.0,Cash,Seller D,33.84,20.79,Note 2,13,1.0,0.0,0.0,0
1797-591,2024-07-14,20:39:04.313815,Water,17,12.23,207.91,Cash,Seller D,11.12,33.27,Note 1,25,0.0,1.0,0.0,0
8674-890,2024-07-12,20:39:04.313815,Camel,17,17.0,289.0,PayPal,Seller D,31.43,27.39,Note 4,30,1.0,0.0,0.0,0
1982-523,2024-07-07,20:39:04.329443,Camel,6,17.0,102.0,Bank Transfer,Seller C,0.09,10.46,Note 4,23,1.0,0.0,0.0,0
7297-119,2024-08-21,20:39:04.329443,Cookies,4,6.19,24.76,PayPal,Seller B,0.29,3.96,Note 4,74,0.0,0.0,0.0,0
7975-556,2024-08-08,20:39:04.329443,Chewing gums,3,2.36,7.08,Bank Transfer,Seller B,1.56,1.13,Note 1,99,0.0,0.0,0.0,0
8499-416,2024-08-17,20:39:04.329443,Marlboro,12,13.0,156.0,PayPal,Seller A,45.64,31.1,Note 3,30,1.0,0.0,0.0,0
7767-576,2024-07-21,20:39:04.329443,Camel,19,17.0,323.0,PayPal,Seller A,33.65,60.07,Note 1,72,1.0,0.0,0.0,0
6222-210,2024-07-05,20:39:04.329443,Chewing gums,5,4.25,21.25,Bank Transfer,Seller D,4.26,3.4,Note 4,13,0.0,0.0,0.0,0
7705-584,2024-08-22,20:39:04.329443,Water,7,6.92,48.44,PayPal,Seller B,1.22,7.75,Note 1,95,0.0,1.0,0.0,0
1846-952,2024-07-18,20:39:04.329443,Cookies,18,5.53,99.54,Cash,Seller D,7.98,15.93,Note 1,7,0.0,0.0,0.0,0
7597-826,2024-08-18,20:39:04.329443,Camel,2,17.0,34.0,Cash,Seller A,6.61,4.8,Note 2,40,1.0,0.0,0.0,0
7662-315,2024-07-31,20:39:04.329443,Cigarette Lighter,8,12.0,96.0,PayPal,Seller B,1.09,1.8,Note 1,2,0.0,0.0,1.0,0
7488-494,2024-07-30,20:39:04.345068,Toilet Paper,12,18.69,224.28,Credit Card,Seller B,0.97,35.88,Note 3,100,0.0,0.0,1.0,0
9594-889,2024-08-13,20:39:04.345068,Toilet Paper,8,6.63,53.04,Credit Card,Seller A,5.25,8.49,Note 2,13,0.0,0.0,1.0,0
4531-702,2024-08-07,20:39:04.345068,Toilet Paper,11,13.31,146.41,Credit Card,Seller C,42.8,23.43,Note 3,62,0.0,0.0,1.0,0
4681-842,2024-07-28,20:39:04.345068,Beer,14,6.14,85.96,Credit Card,Seller A,2.55,13.75,Note 3,11,0.0,1.0,0.0,0
5087-338,2024-08-05,20:39:04.345068,Chewing gums,18,19.02,342.36,Cash,Seller B,56.55,54.78,Note 3,69,0.0,0.0,0.0,0
3337-485,2024-07-18,20:39:04.345068,Marlboro,1,13.0,13.0,PayPal,Seller D,0.07,0.25,Note 2,13,1.0,0.0,0.0,0
9751-341,2024-07-30,20:39:04.345068,Marlboro,13,13.0,169.0,PayPal,Seller B,35.33,20.95,Note 2,71,1.0,0.0,0.0,0
5180-292,2024-08-28,20:39:04.345068,Water,9,17.23,155.07,PayPal,Seller C,8.77,24.81,Note 1,20,0.0,1.0,0.0,0
9605-212,2024-08-03,20:39:04.360691,Chocolate,7,3.69,25.83,Bank Transfer,Seller B,1.94,4.13,Note 1,100,0.0,0.0,0.0,0
1252-478,2024-07-30,20:39:04.360691,Marlboro,11,13.0,143.0,Bank Transfer,Seller C,23.56,16.74,Note 2,53,1.0,0.0,0.0,0
9422-698,2024-07-27,20:39:04.360691,Soda,8,18.38,147.04,PayPal,Seller B,33.96,23.53,Note 3,19,0.0,1.0,0.0,0
6902-218,2024-07-26,20:39:04.360691,Water,7,2.83,19.81,PayPal,Seller B,4.59,3.17,Note 1,79,0.0,1.0,0.0,0
2354-990,2024-07-03,20:39:04.360691,Cookies,13,5.53,71.89,Cash,Seller C,13.94,11.5,Note 2,41,0.0,0.0,0.0,0
1691-249,2024-08-23,20:39:04.360691,Lucky Strike,10,11.0,110.0,Bank Transfer,Seller A,23.78,14.35,Note 4,16,1.0,0.0,0.0,0
9308-882,2024-08-24,20:39:04.360691,Chewing gums,13,15.46,200.98,Credit Card,Seller B,40.78,32.16,Note 3,26,0.0,0.0,0.0,0
5558-603,2024-08-09,20:39:04.360691,Juice,6,18.14,108.84,Credit Card,Seller D,1.54,17.41,Note 1,87,0.0,1.0,0.0,0
6323-407,2024-08-18,20:39:04.360691,Cigarette Lighter,7,12.0,84.0,PayPal,Seller D,24.93,16.83,Note 1,80,0.0,0.0,1.0,0
1669-501,2024-07-07,20:39:04.360691,Marlboro,9,13.0,117.0,Credit Card,Seller D,23.7,28.21,Note 4,84,1.0,0.0,0.0,0
9159-188,2024-07-14,20:39:04.376317,Beer,12,11.62,139.44,Cash,Seller B,5.76,22.31,Note 1,1,0.0,1.0,0.0,0
8077-621,2024-08-23,20:39:04.376317,Candies,20,5.56,111.2,Bank Transfer,Seller D,29.67,17.79,Note 3,29,0.0,0.0,0.0,0
9763-435,2024-07-24,20:39:04.376317,Toilet Paper,15,19.6,294.0,Bank Transfer,Seller B,66.99,47.04,Note 4,39,0.0,0.0,1.0,0
4796-123,2024-08-21,20:39:04.376317,Lucky Strike,3,11.0,33.0,PayPal,Seller B,0.96,1.74,Note 2,54,1.0,0.0,0.0,0
5430-913,2024-08-26,20:39:04.376317,Lucky Strike,9,11.0,99.0,Credit Card,Seller C,35.68,23.13,Note 3,3,1.0,0.0,0.0,0
6352-265,2024-08-27,20:39:04.376317,Camel,19,17.0,323.0,Credit Card,Seller A,8.56,8.69,Note 2,91,1.0,0.0,0.0,0
1229-224,2024-07-13,20:39:04.376317,Cigarette Lighter,11,12.0,132.0,Bank Transfer,Seller A,42.99,26.45,Note 1,45,0.0,0.0,1.0,0
6591-498,2024-07-16,20:39:04.376317,Toilet Paper,19,3.45,65.55,Credit Card,Seller C,16.37,10.49,Note 1,86,0.0,0.0,1.0,0
6323-371,2024-08-27,20:39:04.391946,Cigarette Lighter,3,12.0,36.0,Cash,Seller A,8.95,6.72,Note 3,51,0.0,0.0,1.0,0
1541-350,2024-07-27,20:39:04.391946,Toilet Paper,2,10.79,21.58,Cash,Seller D,5.28,3.45,Note 2,50,0.0,0.0,1.0,0
2047-727,2024-08-04,20:39:04.391946,Chewing gums,1,2.84,2.84,Cash,Seller C,0.46,0.45,Note 3,33,0.0,0.0,0.0,0
3183-543,2024-07-13,20:39:04.391946,Toilet Paper,10,6.17,61.7,Cash,Seller D,2.11,9.87,Note 4,22,0.0,0.0,1.0,0
3155-431,2024-08-11,20:39:04.391946,Cookies,8,8.43,67.44,Credit Card,Seller A,13.45,10.79,Note 3,94,0.0,0.0,0.0,0
6649-197,2024-07-16,20:39:04.391946,Magazine,17,14.29,242.93,Bank Transfer,Seller B,55.91,38.87,Note 3,79,0.0,0.0,1.0,0
6968-950,2024-08-22,20:39:04.391946,Marlboro,7,13.0,91.0,PayPal,Seller A,30.2,16.96,Note 1,72,1.0,0.0,0.0,0
3426-387,2024-08-12,20:39:04.391946,Water,17,3.46,58.82,Credit Card,Seller A,11.15,9.41,Note 4,91,0.0,1.0,0.0,0
7798-339,2024-07-28,20:39:04.391946,Lucky Strike,4,11.0,44.0,Cash,Seller B,1.08,3.83,Note 3,96,1.0,0.0,0.0,0
4452-671,2024-07-25,20:39:04.391946,Toilet Paper,12,17.59,211.08,Credit Card,Seller A,46.94,33.77,Note 3,19,0.0,0.0,1.0,0
2133-201,2024-07-25,20:39:04.407568,Toilet Paper,1,3.05,3.05,Cash,Seller C,0.79,0.49,Note 3,79,0.0,0.0,1.0,0
4953-481,2024-08-16,20:39:04.407568,Juice,7,14.39,100.73,Bank Transfer,Seller C,7.75,16.12,Note 4,39,0.0,1.0,0.0,0
8639-403,2024-07-19,20:39:04.407568,Toilet Paper,16,6.4,102.4,Bank Transfer,Seller C,0.23,16.38,Note 1,42,0.0,0.0,1.0,0
7229-422,2024-08-08,20:39:04.407568,Camel,14,17.0,238.0,Credit Card,Seller A,1.42,5.15,Note 1,68,1.0,0.0,0.0,0
4188-967,2024-08-18,20:39:04.407568,Candies,18,9.7,174.6,Credit Card,Seller C,23.27,27.94,Note 3,43,0.0,0.0,0.0,0
9086-960,2024-07-17,20:39:04.407568,Magazine,3,14.33,42.99,PayPal,Seller B,5.88,6.88,Note 3,11,0.0,0.0,1.0,0
9496-620,2024-08-15,20:39:04.407568,Cigarette Lighter,5,12.0,60.0,Cash,Seller B,6.22,5.46,Note 4,17,0.0,0.0,1.0,0
5120-478,2024-07-02,20:39:04.407568,Juice,8,16.06,128.48,Bank Transfer,Seller A,15.36,20.56,Note 1,63,0.0,1.0,0.0,0
3064-146,2024-07-01,20:39:04.423192,Marlboro,20,13.0,260.0,Bank Transfer,Seller C,63.81,47.1,Note 2,61,1.0,0.0,0.0,0
7648-554,2024-08-27,20:39:04.423192,Magazine,9,15.48,139.32,PayPal,Seller B,20.96,22.29,Note 3,56,0.0,0.0,1.0,0
5664-150,2024-07-31,20:39:04.423192,Lucky Strike,15,11.0,165.0,PayPal,Seller A,0.53,8.69,Note 3,26,1.0,0.0,0.0,0
9467-822,2024-08-06,20:39:04.423192,Cigarette Lighter,6,12.0,72.0,Bank Transfer,Seller C,15.97,14.8,Note 4,67,0.0,0.0,1.0,0
1068-195,2024-07-09,20:39:04.423192,Chocolate,6,15.64,93.84,PayPal,Seller C,6.65,15.01,Note 4,74,0.0,0.0,0.0,0
8936-201,2024-07-25,20:39:04.423192,Water,7,16.51,115.57,Cash,Seller C,28.82,18.49,Note 4,77,0.0,1.0,0.0,0
9658-857,2024-08-27,20:39:04.423192,Lucky Strike,5,11.0,55.0,PayPal,Seller C,6.13,8.18,Note 1,92,1.0,0.0,0.0,0
7160-950,2024-07-21,20:39:04.423192,Juice,1,10.16,10.16,Bank Transfer,Seller D,2.54,1.63,Note 3,94,0.0,1.0,0.0,0
3657-948,2024-07-25,20:39:04.423192,Candies,20,9.07,181.4,Cash,Seller C,0.61,29.02,Note 2,62,0.0,0.0,0.0,0
9534-666,2024-08-05,20:39:04.438819,Lucky Strike,4,11.0,44.0,Credit Card,Seller D,2.76,8.23,Note 2,67,1.0,0.0,0.0,0
3839-684,2024-07-15,20:39:04.438819,Soda,19,2.9,55.1,Bank Transfer,Seller A,15.36,8.82,Note 1,96,0.0,1.0,0.0,0
3892-115,2024-08-24,20:39:04.438819,Water,20,1.22,24.4,Cash,Seller C,5.53,3.9,Note 1,49,0.0,1.0,0.0,0
5752-322,2024-08-11,20:39:04.438819,Marlboro,11,13.0,143.0,Cash,Seller C,24.69,30.25,Note 3,100,1.0,0.0,0.0,0
6553-759,2024-08-25,20:39:04.438819,Water,6,15.54,93.24,Bank Transfer,Seller C,15.61,14.92,Note 1,1,0.0,1.0,0.0,0
3145-417,2024-07-04,20:39:04.438819,Water,2,2.53,5.06,Credit Card,Seller C,0.39,0.81,Note 1,34,0.0,1.0,0.0,0
1589-422,2024-08-10,20:39:04.438819,Toilet Paper,6,1.62,9.72,Credit Card,Seller D,0.02,1.56,Note 1,82,0.0,0.0,1.0,0
