Invoice Number,Date Sale,Time Sale,Product,Category,Quantity,Unit Price,Total Sale,Payment Method,Seller,Discounts,Taxes,Notes,Remaining Stock
6497-964,2024-08-25,20:39:04.235685,Chewing gums,Candies,7,18.22,127.54,Cash,Seller A,2.67,20.41,Note 3,11
3930-318,2024-08-27,20:39:04.235685,Marlboro,Cigarettes,19,13,247,Bank Transfer,Seller B,33.61,46.03,Note 2,14
2937-511,2024-07-11,20:39:04.251315,Cigarette Lighter,Others,20,12,240,Bank Transfer,Seller A,15.15,44.8,Note 3,74
1257-910,2024-08-03,20:39:04.251315,Chewing gums,Candies,7,7.57,52.99,Bank Transfer,Seller B,2.66,8.48,Note 1,83
7596-465,2024-07-16,20:39:04.251315,Lucky Strike,Cigarettes,2,11,22,Credit Card,Seller D,1.37,1.02,Note 2,34
2478-455,2024-08-04,20:39:04.251315,Toilet Paper,Others,18,8.41,151.38,Cash,Seller A,36.88,24.22,Note 4,36
5962-650,2024-07-29,20:39:04.251315,Cigarette Lighter,Others,18,12,216,Cash,Seller D,32.95,30.64,Note 3,9
9049-856,2024-08-28,20:39:04.251315,Toilet Paper,Others,8,4.38,35.04,PayPal,Seller B,3.67,5.61,Note 1,98
9031-591,2024-08-01,20:39:04.251315,Magazine,Others,14,15.48,216.72,Bank Transfer,Seller D,52.24,34.68,Note 4,70
2240-247,2024-08-21,20:39:04.251315,Marlboro,Cigarettes,5,13,65,Bank Transfer,Seller C,8.98,9.79,Note 1,8
8111-474,2024-07-13,20:39:04.251315,Lucky Strike,Cigarettes,17,11,187,PayPal,Seller C,6.78,4.95,Note 4,56
2083-332,2024-07-16,20:39:04.266943,Chocolate,Candies,6,7.27,43.62,PayPal,Seller C,12.63,6.98,Note 1,20
4762-289,2024-07-28,20:39:04.266943,Candies,Candies,12,7.31,87.72,Bank Transfer,Seller B,8.05,14.04,Note 4,29
8625-911,2024-08-18,20:39:04.266943,Chocolate,Candies,2,2.77,5.54,Credit Card,Seller B,1.56,0.89,Note 2,100
6069-657,2024-07-08,20:39:04.266943,Magazine,Others,14,19.69,275.66,Credit Card,Seller D,38.48,44.11,Note 2,83
3814-755,2024-07-27,20:39:04.266943,Magazine,Others,12,19.28,231.36,Bank Transfer,Seller D,63.27,37.02,Note 4,44
4835-543,2024-08-02,20:39:04.266943,Water,Drinks,20,15.32,306.4,Cash,Seller C,86.26,49.02,Note 1,82
8831-190,2024-08-07,20:39:04.266943,Soda,Drinks,5,1.39,6.95,Bank Transfer,Seller B,0.74,1.11,Note 1,21
9570-486,2024-07-30,20:39:04.266943,Magazine,Others,20,14.29,285.8,Credit Card,Seller D,67.92,45.73,Note 1,23
9873-642,2024-07-02,20:39:04.266943,Water,Drinks,8,1.33,10.64,Cash,Seller B,2.79,1.7,Note 4,40
3052-379,2024-07-23,20:39:04.282568,Magazine,Others,3,17.21,51.63,PayPal,Seller A,5.75,8.26,Note 3,79
9166-651,2024-08-07,20:39:04.282568,Cigarette Lighter,Others,15,12,180,Credit Card,Seller C,48.46,37.01,Note 3,0
7490-166,2024-07-09,20:39:04.282568,Lucky Strike,Cigarettes,19,11,209,Cash,Seller B,96.87,54.2,Note 1,35
5258-121,2024-08-12,20:39:04.282568,Candies,Candies,12,1.07,12.84,Bank Transfer,Seller B,3.16,2.05,Note 2,39
3809-132,2024-08-02,20:39:04.282568,Soda,Drinks,15,13.38,200.7,Bank Transfer,Seller A,53.75,32.11,Note 2,36
4444-246,2024-07-18,20:39:04.282568,Lucky Strike,Cigarettes,18,11,198,Cash,Seller D,18.27,51.35,Note 4,1
8928-783,2024-07-01,20:39:04.282568,Juice,Drinks,9,1.05,9.45,Bank Transfer,Seller D,1.02,1.51,Note 2,23
9693-125,2024-07-09,20:39:04.282568,Cigarette Lighter,Others,14,12,168,PayPal,Seller C,4.09,11.16,Note 4,76
4197-719,2024-07-08,20:39:04.282568,Candies,Candies,19,16.59,315.21,Cash,Seller C,40.02,50.43,Note 2,41
5115-979,2024-07-06,20:39:04.298180,Chocolate,Candies,17,12.93,219.81,Cash,Seller D,41.42,35.17,Note 2,88
7001-162,2024-08-11,20:39:04.298180,Cigarette Lighter,Others,10,12,120,Bank Transfer,Seller A,24.19,19.87,Note 1,37
9105-546,2024-07-21,20:39:04.298180,Toilet Paper,Others,13,6.86,89.18,Cash,Seller A,9.37,14.27,Note 2,19
6373-453,2024-08-08,20:39:04.298180,Soda,Drinks,20,10.83,216.6,Bank Transfer,Seller A,4.13,34.66,Note 1,52
7883-963,2024-08-04,20:39:04.298180,Candies,Candies,8,15.58,124.64,Cash,Seller B,21.87,19.94,Note 2,96
3429-289,2024-07-09,20:39:04.298180,Cookies,Candies,12,12.62,151.44,Credit Card,Seller A,22.52,24.23,Note 4,0
9838-486,2024-07-31,20:39:04.298180,Toilet Paper,Others,3,16.08,48.24,Bank Transfer,Seller D,13.57,7.72,Note 1,22
2193-749,2024-07-17,20:39:04.298180,Cookies,Candies,17,3,51,Credit Card,Seller C,12.92,8.16,Note 2,91
8480-100,2024-08-18,20:39:04.298180,Juice,Drinks,2,1.05,2.1,PayPal,Seller A,0.55,0.34,Note 1,34
6751-279,2024-08-14,20:39:04.313815,Soda,Drinks,14,16.14,225.96,Credit Card,Seller B,15.83,36.15,Note 2,53
5793-593,2024-08-18,20:39:04.313815,Cigarette Lighter,Others,15,12,180,Credit Card,Seller D,61.24,42.43,Note 1,20
7328-376,2024-08-10,20:39:04.313815,Chocolate,Candies,15,16.79,251.85,Cash,Seller C,67.39,40.3,Note 2,54
4087-144,2024-08-17,20:39:04.313815,Candies,Candies,6,9.7,58.2,PayPal,Seller A,10.65,9.31,Note 2,64
2695-614,2024-08-26,20:39:04.313815,Chocolate,Candies,5,9.57,47.85,PayPal,Seller A,12.82,7.66,Note 4,64
2698-282,2024-07-02,20:39:04.313815,Beer,Drinks,5,1.57,7.85,Bank Transfer,Seller B,1.66,1.26,Note 1,80
5087-698,2024-07-09,20:39:04.313815,Marlboro,Cigarettes,12,13,156,Cash,Seller D,33.84,20.79,Note 2,13
1797-591,2024-07-14,20:39:04.313815,Water,Drinks,17,12.23,207.91,Cash,Seller D,11.12,33.27,Note 1,25
8674-890,2024-07-12,20:39:04.313815,Camel,Cigarettes,17,17,289,PayPal,Seller D,31.43,27.39,Note 4,30
1982-523,2024-07-07,20:39:04.329443,Camel,Cigarettes,6,17,102,Bank Transfer,Seller C,0.09,10.46,Note 4,23
7297-119,2024-08-21,20:39:04.329443,Cookies,Candies,4,6.19,24.76,PayPal,Seller B,0.29,3.96,Note 4,74
7975-556,2024-08-08,20:39:04.329443,Chewing gums,Candies,3,2.36,7.08,Bank Transfer,Seller B,1.56,1.13,Note 1,99
8499-416,2024-08-17,20:39:04.329443,Marlboro,Cigarettes,12,13,156,PayPal,Seller A,45.64,31.1,Note 3,30
7767-576,2024-07-21,20:39:04.329443,Camel,Cigarettes,19,17,323,PayPal,Seller A,33.65,60.07,Note 1,72
6222-210,2024-07-05,20:39:04.329443,Chewing gums,Candies,5,4.25,21.25,Bank Transfer,Seller D,4.26,3.4,Note 4,13
7705-584,2024-08-22,20:39:04.329443,Water,Drinks,7,6.92,48.44,PayPal,Seller B,1.22,7.75,Note 1,95
1846-952,2024-07-18,20:39:04.329443,Cookies,Candies,18,5.53,99.54,Cash,Seller D,7.98,15.93,Note 1,7
7597-826,2024-08-18,20:39:04.329443,Camel,Cigarettes,2,17,34,Cash,Seller A,6.61,4.8,Note 2,40
7662-315,2024-07-31,20:39:04.329443,Cigarette Lighter,Others,8,12,96,PayPal,Seller B,1.09,1.8,Note 1,2
7488-494,2024-07-30,20:39:04.345068,Toilet Paper,Others,12,18.69,224.28,Credit Card,Seller B,0.97,35.88,Note 3,100
9594-889,2024-08-13,20:39:04.345068,Toilet Paper,Others,8,6.63,53.04,Credit Card,Seller A,5.25,8.49,Note 2,13
4531-702,2024-08-07,20:39:04.345068,Toilet Paper,Others,11,13.31,146.41,Credit Card,Seller C,42.8,23.43,Note 3,62
4681-842,2024-07-28,20:39:04.345068,Beer,Drinks,14,6.14,85.96,Credit Card,Seller A,2.55,13.75,Note 3,11
5087-338,2024-08-05,20:39:04.345068,Chewing gums,Candies,18,19.02,342.36,Cash,Seller B,56.55,54.78,Note 3,69
3337-485,2024-07-18,20:39:04.345068,Marlboro,Cigarettes,1,13,13,PayPal,Seller D,0.07,0.25,Note 2,13
9751-341,2024-07-30,20:39:04.345068,Marlboro,Cigarettes,13,13,169,PayPal,Seller B,35.33,20.95,Note 2,71
5180-292,2024-08-28,20:39:04.345068,Water,Drinks,9,17.23,155.07,PayPal,Seller C,8.77,24.81,Note 1,20
9605-212,2024-08-03,20:39:04.360691,Chocolate,Candies,7,3.69,25.83,Bank Transfer,Seller B,1.94,4.13,Note 1,100
1252-478,2024-07-30,20:39:04.360691,Marlboro,Cigarettes,11,13,143,Bank Transfer,Seller C,23.56,16.74,Note 2,53
9422-698,2024-07-27,20:39:04.360691,Soda,Drinks,8,18.38,147.04,PayPal,Seller B,33.96,23.53,Note 3,19
6902-218,2024-07-26,20:39:04.360691,Water,Drinks,7,2.83,19.81,PayPal,Seller B,4.59,3.17,Note 1,79
2354-990,2024-07-03,20:39:04.360691,Cookies,Candies,13,5.53,71.89,Cash,Seller C,13.94,11.5,Note 2,41
1691-249,2024-08-23,20:39:04.360691,Lucky Strike,Cigarettes,10,11,110,Bank Transfer,Seller A,23.78,14.35,Note 4,16
9308-882,2024-08-24,20:39:04.360691,Chewing gums,Candies,13,15.46,200.98,Credit Card,Seller B,40.78,32.16,Note 3,26
5558-603,2024-08-09,20:39:04.360691,Juice,Drinks,6,18.14,108.84,Credit Card,Seller D,1.54,17.41,Note 1,87
6323-407,2024-08-18,20:39:04.360691,Cigarette Lighter,Others,7,12,84,PayPal,Seller D,24.93,16.83,Note 1,80
1669-501,2024-07-07,20:39:04.360691,Marlboro,Cigarettes,9,13,117,Credit Card,Seller D,23.7,28.21,Note 4,84
